Gene name,baseMean,log2FoldChange,lfcSE (standard error),Wald stat,P value,Adj. P value
Atp5g2,379.9734708,-1.299568233,0.44646792,-2.910776282,0.003605321,0.036174653
Hspd1,1183.869659,1.023431335,0.351607367,2.910722104,0.003605946,0.036174653
Rbm6,424.0392703,1.617888114,0.555611238,2.91190675,0.003592299,0.036174653
Spink10,252.9451739,2.387909491,0.820354634,2.910825869,0.003604749,0.036174653
Tmem132a,551.6792645,-1.374894721,0.472343947,-2.910791449,0.003605146,0.036174653
Ankrd26,78.19872576,-2.115960614,0.727090204,-2.91017621,0.00361225,0.036202853
Ablim3,366.1115848,-1.866514717,0.641617977,-2.909074845,0.003625001,0.036295538
Cenpv,69.0963562,-2.182791045,0.750687782,-2.907721556,0.003640723,0.036417777
Cst3,5443.423727,1.196792425,0.4116762,2.907120751,0.003647724,0.036439123
Pak6,863.1420078,1.381282308,0.475211589,2.906667976,0.003653007,0.036439123
Tmem47,711.5586856,1.688919859,0.581056981,2.906633799,0.003653406,0.036439123
Ccnd3,43.3224138,-2.71107145,0.933102835,-2.905436946,0.003667407,0.036492667
Ppapdc1a,228.9794918,2.246983786,0.773415936,2.905272157,0.003669339,0.036492667
Sept3,1503.88523,-1.027939645,0.353774961,-2.905631426,0.003665129,0.036492667
2900011O08Rik,936.5795862,-1.512547783,0.520676486,-2.904966567,0.003672923,0.036493293
Gm15800,1181.990032,-1.08987962,0.375328664,-2.90380065,0.003686628,0.036532278
Nt5dc2,51.15755856,-2.527231203,0.870253964,-2.904015731,0.003684096,0.036532278
Ubash3b,220.2098399,-1.834949142,0.631927604,-2.903733165,0.003687423,0.036532278
Tmem101,85.39961534,-2.159346762,0.74401069,-2.902306097,0.003704264,0.036664076
Adipor2,49.7626155,2.356381881,0.812229995,2.901126398,0.003718239,0.036767278
D830030K20Rik,713.1596865,1.549666758,0.534343843,2.900130281,0.003730076,0.036839038
Kctd13,593.8369325,-1.854641689,0.639549746,-2.899917794,0.003732605,0.036839038
Bicd1,539.9716175,1.458709183,0.503308611,2.89824007,0.003752632,0.037001454
Lin54,59.99238821,2.205177146,0.760984441,2.897795313,0.003757958,0.03701874
