ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cd38,652.5757355,-2.512557065,0.280809326,8.947555635,3.63E-19,4.59E-17
D030018L15Rik,89.4637132,-2.513638647,0.356585695,7.049185321,1.80E-12,1.01E-10
Kynu,188.0549174,-2.519279506,0.422928571,5.956749382,2.57E-09,8.55E-08
Dkk2,1206.841487,-2.521009714,0.294924383,8.547986729,1.25E-17,1.37E-15
Slc47a1,72.69317356,-2.522743367,0.427515478,5.900940423,3.61E-09,1.18E-07
Dmp1,107.1961452,-2.52315433,0.457020086,5.520882798,3.37E-08,8.95E-07
Slc35d1,1616.840722,-2.525435278,0.325036851,7.769689091,7.87E-15,6.21E-13
Tbx18,1980.972356,-2.526075945,0.342440933,7.37667638,1.62E-13,1.05E-11
Ush1g,137.6762431,-2.535082586,0.252932663,10.02275686,1.21E-23,2.14E-21
6330549D23Rik,121.472254,-2.536280367,0.384219207,6.601128523,4.08E-11,1.92E-09
Shc4,516.8072524,-2.537773503,0.351693935,7.215858026,5.36E-13,3.24E-11
Slc25a42,2188.89176,-2.540145568,0.20181366,12.58658888,2.50E-36,1.45E-33
Lgr5,127.7653679,-2.542517071,0.313868196,8.100588398,5.47E-16,4.94E-14
Zscan12,150.903476,-2.544113125,0.322713177,7.883511766,3.18E-15,2.62E-13
Slc13a2os,30.51993521,-2.545228555,0.5673861,4.485884576,7.26E-06,0.000119048
4931406B18Rik,1766.132514,-2.550755228,0.338890273,7.526787958,5.20E-14,3.67E-12
Mon1b,1658.273834,-2.553467959,0.341609077,7.474824683,7.73E-14,5.30E-12
Gm4951,229.4859213,-2.555231599,0.41329988,6.182512314,6.31E-10,2.30E-08
9230105E05Rik,1171.153556,-2.557623315,0.548511576,4.662842917,3.12E-06,5.63E-05
4930513N10Rik,19.38852681,-2.562727237,0.627929207,4.081235921,4.48E-05,0.000588594
Kcnj2,315.25385,-2.564408285,0.296384937,8.652289509,5.05E-18,5.77E-16
Snord95,30.40095233,-2.565384603,0.745500695,3.441156556,0.000579233,0.005208141
Gm20337,736.1669675,-2.567003663,0.337474961,7.606501094,2.82E-14,2.06E-12
Optc,634.0106764,-2.567891167,0.224040743,11.46171513,2.05E-30,7.85E-28
1700010I02Rik,594.0163991,-2.575815019,0.373108692,6.903658569,5.07E-12,2.66E-10
Gm14718,50.94927857,-2.577155718,0.52140597,4.942704665,7.70E-07,1.60E-05
Prkag3,958.0807224,-2.580519365,0.296901284,8.691506248,3.58E-18,4.17E-16
