,geo_accession,sampleID,age,Arc,Ctip2,Fos,Prox1,gender,exposure,cell.type,strain
X170525_50,GSM3309271,X170525_50,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_51,GSM3309272,X170525_51,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_52,GSM3309273,X170525_52,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_53,GSM3309274,X170525_53,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_54,GSM3309275,X170525_54,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_55,GSM3309276,X170525_55,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_56,GSM3309277,X170525_56,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_57,GSM3309278,X170525_57,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_58,GSM3309279,X170525_58,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_59,GSM3309280,X170525_59,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_60,GSM3309281,X170525_60,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_61,GSM3309282,X170525_61,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_62,GSM3309283,X170525_62,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_63,GSM3309284,X170525_63,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_64,GSM3309285,X170525_64,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_65,GSM3309286,X170525_65,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_66,GSM3309287,X170525_66,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_67,GSM3309288,X170525_67,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_68,GSM3309289,X170525_68,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_69,GSM3309290,X170525_69,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_70,GSM3309291,X170525_70,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_71,GSM3309292,X170525_71,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_72,GSM3309293,X170525_72,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X170525_73,GSM3309294,X170525_73,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_74,GSM3309295,X170525_74,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_75,GSM3309296,X170525_75,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_76,GSM3309297,X170525_76,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_77,GSM3309298,X170525_77,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_78,GSM3309299,X170525_78,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_79,GSM3309300,X170525_79,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_80,GSM3309301,X170525_80,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_81,GSM3309302,X170525_81,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_82,GSM3309303,X170525_82,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_83,GSM3309304,X170525_83,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_84,GSM3309305,X170525_84,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_85,GSM3309306,X170525_85,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_86,GSM3309307,X170525_86,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_87,GSM3309308,X170525_87,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_88,GSM3309309,X170525_88,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_89,GSM3309310,X170525_89,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_90,GSM3309311,X170525_90,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_91,GSM3309312,X170525_91,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_92,GSM3309313,X170525_92,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_93,GSM3309314,X170525_93,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_94,GSM3309315,X170525_94,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_95,GSM3309316,X170525_95,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X170525_96,GSM3309317,X170525_96,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_01,GSM3309318,X021618_01,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_02,GSM3309319,X021618_02,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_03,GSM3309320,X021618_03,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_04,GSM3309321,X021618_04,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_05,GSM3309322,X021618_05,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_06,GSM3309323,X021618_06,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_07,GSM3309324,X021618_07,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_08,GSM3309325,X021618_08,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_09,GSM3309326,X021618_09,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_10,GSM3309327,X021618_10,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_11,GSM3309328,X021618_11,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_12,GSM3309329,X021618_12,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_13,GSM3309330,X021618_13,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_14,GSM3309331,X021618_14,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_15,GSM3309332,X021618_15,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_16,GSM3309333,X021618_16,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_17,GSM3309334,X021618_17,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_18,GSM3309335,X021618_18,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_19,GSM3309336,X021618_19,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_20,GSM3309337,X021618_20,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_21,GSM3309338,X021618_21,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_22,GSM3309339,X021618_22,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_23,GSM3309340,X021618_23,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_24,GSM3309341,X021618_24,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_25,GSM3309342,X021618_25,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_26,GSM3309343,X021618_26,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_27,GSM3309344,X021618_27,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_28,GSM3309345,X021618_28,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_29,GSM3309346,X021618_29,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_30,GSM3309347,X021618_30,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_31,GSM3309348,X021618_31,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_32,GSM3309349,X021618_32,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_33,GSM3309350,X021618_33,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_34,GSM3309351,X021618_34,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_35,GSM3309352,X021618_35,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_36,GSM3309353,X021618_36,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_37,GSM3309354,X021618_37,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_38,GSM3309355,X021618_38,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_39,GSM3309356,X021618_39,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_40,GSM3309357,X021618_40,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_41,GSM3309358,X021618_41,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_42,GSM3309359,X021618_42,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_43,GSM3309360,X021618_43,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_44,GSM3309361,X021618_44,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_45,GSM3309362,X021618_45,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_46,GSM3309363,X021618_46,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_47,GSM3309364,X021618_47,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_48,GSM3309365,X021618_48,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_49,GSM3309366,X021618_49,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_50,GSM3309367,X021618_50,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_51,GSM3309368,X021618_51,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_52,GSM3309369,X021618_52,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_53,GSM3309370,X021618_53,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_54,GSM3309371,X021618_54,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_55,GSM3309372,X021618_55,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_56,GSM3309373,X021618_56,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_57,GSM3309374,X021618_57,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_58,GSM3309375,X021618_58,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_59,GSM3309376,X021618_59,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_60,GSM3309377,X021618_60,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_61,GSM3309378,X021618_61,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_62,GSM3309379,X021618_62,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_63,GSM3309380,X021618_63,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_64,GSM3309381,X021618_64,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_65,GSM3309382,X021618_65,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_66,GSM3309383,X021618_66,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_67,GSM3309384,X021618_67,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_68,GSM3309385,X021618_68,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_69,GSM3309386,X021618_69,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_70,GSM3309387,X021618_70,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_71,GSM3309388,X021618_71,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_72,GSM3309389,X021618_72,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_73,GSM3309390,X021618_73,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_74,GSM3309391,X021618_74,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_75,GSM3309392,X021618_75,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_76,GSM3309393,X021618_76,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_77,GSM3309394,X021618_77,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_78,GSM3309395,X021618_78,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_79,GSM3309396,X021618_79,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_80,GSM3309397,X021618_80,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_81,GSM3309398,X021618_81,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_82,GSM3309399,X021618_82,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_83,GSM3309400,X021618_83,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_84,GSM3309401,X021618_84,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_85,GSM3309402,X021618_85,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_86,GSM3309403,X021618_86,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_87,GSM3309404,X021618_87,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_88,GSM3309405,X021618_88,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_89,GSM3309406,X021618_89,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_90,GSM3309407,X021618_90,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_91,GSM3309408,X021618_91,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_92,GSM3309409,X021618_92,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_93,GSM3309410,X021618_93,8.85,Yes,Yes,No,Yes,Female,A>A,Unknown,C57BL6
X021618_94,GSM3309411,X021618_94,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_95,GSM3309412,X021618_95,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
X021618_96,GSM3309413,X021618_96,8.85,Yes,Yes,Yes,Yes,Female,A>A,Unknown,C57BL6
